,latitude,longitude,acq_date
229,-31.861,121.57,1/01/2020
230,-31.863000000000003,121.595,1/01/2020
231,-31.875999999999998,121.59299999999999,1/01/2020
232,-31.878,121.618,1/01/2020
233,-31.88,121.64399999999999,1/01/2020
234,-32.497,123.44,1/01/2020
235,-32.378,121.559,1/01/2020
236,-32.494,123.435,1/01/2020
237,-32.385999999999996,121.553,1/01/2020
238,-31.796999999999997,115.851,1/01/2020
239,-32.394,121.325,1/01/2020
240,-32.396,121.34899999999999,1/01/2020
241,-32.475,121.96700000000001,1/01/2020
242,-32.489000000000004,121.96600000000001,1/01/2020
243,-32.494,121.958,1/01/2020
244,-32.496,121.985,1/01/2020
245,-32.524,121.98200000000001,1/01/2020
246,-32.548,122.289,1/01/2020
247,-32.55,122.318,1/01/2020
248,-32.538000000000004,121.98100000000001,1/01/2020
249,-32.54,122.008,1/01/2020
250,-32.542,122.035,1/01/2020
251,-32.562,122.288,1/01/2020
252,-32.564,122.31700000000001,1/01/2020
253,-31.989,115.92399999999999,1/01/2020
254,-32.811,124.126,1/01/2020
255,-32.803000000000004,124.119,1/01/2020
256,-32.059,115.906,1/01/2020
257,-32.06,115.917,1/01/2020
258,-32.062,115.929,1/01/2020
259,-32.819,124.118,1/01/2020
260,-32.068000000000005,115.904,1/01/2020
261,-32.07,115.916,1/01/2020
262,-32.653,121.03399999999999,1/01/2020
263,-32.664,121.009,1/01/2020
264,-32.666,121.03200000000001,1/01/2020
265,-32.684,121.079,1/01/2020
266,-32.662,121.00399999999999,1/01/2020
267,-32.664,121.027,1/01/2020
268,-32.681,121.074,1/01/2020
269,-30.889,123.723,1/01/2020
270,-30.889,123.523,1/01/2020
271,-30.925,123.586,1/01/2020
272,-30.927,123.619,1/01/2020
273,-30.886999999999997,123.51700000000001,1/01/2020
274,-31.892,121.617,1/01/2020
275,-31.983,121.47399999999999,1/01/2020
276,-31.985,121.499,1/01/2020
277,-31.987,121.524,1/01/2020
278,-32.012,121.649,1/01/2020
279,-31.978,121.469,1/01/2020
280,-31.98,121.494,1/01/2020
281,-31.982,121.51899999999999,1/01/2020
282,-32.008,121.67,1/01/2020
283,-32.26,123.445,1/01/2020
284,-32.256,123.43799999999999,1/01/2020
285,-32.271,123.43700000000001,1/01/2020
286,-32.274,123.471,1/01/2020
287,-32.289,123.47,1/01/2020
288,-32.291,123.50399999999999,1/01/2020
289,-32.294000000000004,123.539,1/01/2020
290,-32.306999999999995,123.50299999999999,1/01/2020
291,-32.309,123.538,1/01/2020
292,-32.315,123.4,1/01/2020
293,-32.317,123.43299999999999,1/01/2020
294,-32.335,123.46600000000001,1/01/2020
295,-32.338,123.501,1/01/2020
296,-32.303000000000004,123.49799999999999,1/01/2020
297,-32.305,123.53200000000001,1/01/2020
298,-32.312,123.39399999999999,1/01/2020
299,-32.314,123.428,1/01/2020
300,-32.332,123.461,1/01/2020
301,-18.032,122.719,1/01/2020
302,-18.034000000000002,122.73700000000001,1/01/2020
303,-32.334,123.495,1/01/2020
304,-21.397,120.74700000000001,1/01/2020
305,-21.399,120.741,1/01/2020
306,-22.031999999999996,116.225,1/01/2020
307,-22.456999999999997,117.72200000000001,1/01/2020
308,-22.458000000000002,117.73200000000001,1/01/2020
309,-22.465999999999998,117.721,1/01/2020
310,-22.468000000000004,117.73100000000001,1/01/2020
